class,RE,RENL,SWR,SKR,QR,CER,CS,ACF,CT,TAC,RT,RCF,TRC,RP,ExtLib,Sentiment,id
u,93.91457364341088,93.91457364341088,0.5652173913043478,0.5652173913043478,0.25,0.021739130434782608,0.31280562354492725,0,0,174,1,5,203,25,0.0,1,65627584-7187
u,77.90500000000002,77.90500000000002,0.0,0.0,0.0,0.5,0.0,44,1,1591,1,46,1511,290,0.8372774257099258,1,65634860-7187
u,92.965,92.965,0.5882352941176471,0.5882352941176471,1.0,0.058823529411764705,0.27820744203732856,0,0,174,1,5,203,25,0.0,1,65726446-7187
u,82.39000000000001,82.39000000000001,0.5,0.5,0.0,0.125,0.0,0,0,174,1,5,203,25,0.0,1,65726556-7187
u,96.02461538461542,96.02461538461542,0.3076923076923077,0.38461538461538464,0.0,0.07692307692307693,0.30151134457776363,15,1,278,1,3,66,12,1.0,1,65609488-7185
u,100.0,100.0,0.5454545454545454,0.5454545454545454,1.0,0.09090909090909091,0.22613350843332272,1,1,28,1,2,9,1,0.0,1,65438504-7180
u,84.90000000000003,100.0,0.38095238095238093,0.38095238095238093,1.0,0.14285714285714285,0.32071349029490925,4,1,695,1,10,307,56,0.0,0,65374127-7175
u,40.09,36.62000000000003,0.2222222222222222,0.2222222222222222,0.0,0.8888888888888888,0.3478327964999673,0,0,187,1,2,500,93,0.0,1,65121447-7169
u,99.52771739130438,99.49178571428574,0.6428571428571429,0.6785714285714286,0.5,0.14285714285714285,0.34299717028501764,0,0,187,1,2,500,93,0.0,1,65121590-7169
u,52.87000000000002,52.87000000000002,0.5833333333333334,0.5833333333333334,0.0,0.027777777777777776,0.19999999999999996,0,0,187,1,2,500,93,0.0,1,65121679-7169
u,67.32894736842107,75.76500000000001,0.43478260869565216,0.4782608695652174,0.0,0.08695652173913043,0.2614881801842454,0,0,187,1,3,500,93,0.0,1,65121975-7169
u,39.78176470588238,39.78176470588238,0.5267857142857143,0.5357142857142857,0.25,0.008928571428571428,0.1347150628109127,0,0,187,1,3,500,93,0.0,0,65122271-7169
u,100.0,100.0,0.4915254237288136,0.5254237288135594,0.0,0.03389830508474576,0.10206207261596577,0,0,304,1,1,157,37,0.4020480950493114,1,65087868-7161
u,100.0,100.0,0.5,0.5,0.0,0.1,0.24999999999999994,6,1,3166,1,36,1360,277,0.3492040042848795,1,65092384-7161
u,0.0,75.87500000000001,0.2857142857142857,0.2857142857142857,0.0,0.6666666666666666,0.6188527477552761,0,0,231,1,2,119,15,0.6864824749132555,1,64775339-7140
u,100.0,100.0,0.0,0.0,0.0,1.0,0.0,0,0,187,1,3,489,87,0.0,1,64778689-7140
